#domain,port,ioc,ip
glkvm.makatun.net,443,Possible GLKVM Domain (Unverified),62.149.9.192
glkvm.makatun.net,80,Possible GLKVM Domain (Unverified),62.149.9.192
glkvm.mtu90.com,443,Possible GLKVM Domain (Unverified),79.98.186.233
gm.topmser.ddnsgeek.com,4445,Possible PiKVM Domain (Unverified),210.6.96.136
gml.4kife.spb.ru,8086,Possible NanoKVM Domain (Unverified),5.16.21.73
gmzozjoylyzicw6q.myfritz.net,443,Possible GLKVM Domain (Unverified),194.183.30.78
gmzozjoylyzicw6q.myfritz.net,80,Possible GLKVM Domain (Unverified),194.183.30.78
gonzalez.diskstation.me,8000,Possible NanoKVM Domain (Unverified),217.31.190.115
goodtaste2.direct.quickconnect.to,4343,Possible NanoKVM Domain (Unverified),114.33.70.204
grafana.aistation.trading,40443,Possible NanoKVM Domain (Unverified),110.235.108.37
grafana.qsaf.net,31443,Possible PiKVM Domain (Unverified),24.217.36.113
gw-dc-1-gkbn.netcraze.link,8443,Possible NanoKVM Domain (Unverified),85.143.203.174
h.vadima.net,9443,Possible NanoKVM Domain (Unverified),178.219.86.226
hamon0720.kami.live,59057,Possible NanoKVM Domain (Unverified),116.127.199.214
hanwusk.com,202,Possible PiKVM Domain (Unverified),120.27.15.209
haraspberrypi.duckdns.org,10058,Possible NanoKVM Domain (Unverified),109.194.141.174
harryandblanche.direct.quickconnect.to,300,Possible NanoKVM Domain (Unverified),136.53.196.118
harryandblanche.direct.quickconnect.to,8000,Possible NanoKVM Domain (Unverified),136.53.196.118
hauroa.freeboxos.fr,49200,Possible GLKVM Domain (Unverified),88.161.5.86
hd2faesan.direct.quickconnect.to,8765,Possible NanoKVM Domain (Unverified),88.19.200.169
hlabbe.synology.me,443,Possible GLKVM Domain (Unverified),76.102.11.72
hlabbe.synology.me,80,Possible GLKVM Domain (Unverified),76.102.11.72
hnzznas.xgpuplay.eu.org,8089,Possible PiKVM Domain (Unverified),182.119.29.182
home-assistant.65-studio.com,8888,Possible NanoKVM Domain (Unverified),188.233.254.37
home-assistant.65-studio.com,8889,Possible NanoKVM Domain (Unverified),188.233.254.37
home.chenrunbao.com,8448,Possible NanoKVM Domain (Unverified),180.165.35.85
home.hertz-eichenrode.net,443,Possible GLKVM Domain (Unverified),31.16.114.99
home.jmehr.dk,6311,Possible NanoKVM Domain (Unverified),5.103.215.195
home.mochulsky.ru,100,Possible NanoKVM Domain (Unverified),185.244.46.172
home.tallent.us,14438,Possible PiKVM Domain (Unverified),70.131.165.225
home1.reskinol.com.ua,8008,Possible NanoKVM Domain (Unverified),178.151.225.227
