#domain,port,ioc,ip
jellyfin.cabin.williamweilep.com,5020,Possible NanoKVM Domain (Unverified),209.23.71.120
jellyfin.gh4l.org,2096,Possible PiKVM Domain (Unverified),24.101.18.231
jellyfin.vgfml.com,2125,Possible PiKVM Domain (Unverified),66.31.141.13
jinaohome.top,78,Possible PiKVM Domain (Unverified),121.15.191.101
johnsmit.synology.me,44001,Possible GLKVM Domain (Unverified),107.221.55.208
js.databill.net,446,Possible PiKVM Domain (Unverified),180.130.157.29
k-vm-1.osblic.ch,2876,Possible GLKVM Domain (Unverified),84.234.16.53
k112.space,1957,Possible NanoKVM Domain (Unverified),86.110.170.70
karimov1981.crazedns.ru,443,Possible NanoKVM Domain (Unverified),151.252.81.52
kasper12.erudit23.ru,8050,Possible NanoKVM Domain (Unverified),193.242.148.251
kassafinal.direct.quickconnect.to,53310,Possible NanoKVM Domain (Unverified),106.72.8.128
kclauts873.myqnapcloud.com,62443,Possible PiKVM Domain (Unverified),124.244.236.243
kcs2092.duckdns.org,40022,Possible NanoKVM Domain (Unverified),123.213.37.9
keenanweb.com,31415,Possible NanoKVM Domain (Unverified),73.33.203.123
kennyb36532.direct.quickconnect.to,10142,Possible GLKVM Domain (Unverified),68.186.201.237
kennyb36532.direct.quickconnect.to,10163,Possible GLKVM Domain (Unverified),68.186.201.237
kkim.top,18443,Possible GLKVM Domain (Unverified),123.235.20.198
klinker-cabin.computer,8085,Possible PiKVM Domain (Unverified),38.75.214.203
knzw.org,8866,Possible GLKVM Domain (Unverified),104.56.117.144
krot34464.keenetic.link,56734,Possible NanoKVM Domain (Unverified),83.174.213.36
kvm.asi.nyc,443,Possible GLKVM Domain (Unverified),198.199.69.31
kvm.torrestorrestech.com.br,8443,Possible GLKVM Domain (Unverified),187.10.236.6
kvm.wujiang.icu,8082,Possible PiKVM Domain (Unverified),47.92.32.235
lesj0610.asuscomm.com,9443,Possible PiKVM Domain (Unverified),175.115.64.71
lesj0610.duckdns.org,7443,Possible PiKVM Domain (Unverified),175.115.64.71
levashoff.com,3972,Possible PiKVM Domain (Unverified),69.251.58.121
lin-kor-20-26.crazedns.ru,63434,Possible NanoKVM Domain (Unverified),176.107.249.209
linjiang-nas.direct.quickconnect.to,18888,Possible PiKVM Domain (Unverified),220.132.99.215
linjintao.myds.me,4433,Possible PiKVM Domain (Unverified),110.81.94.218
live.inftdes.com,7777,Possible GLKVM Domain (Unverified),144.6.122.144
lldap.aistation.trading,40443,Possible NanoKVM Domain (Unverified),110.235.108.37
localracc.argyll.live,443,Possible GLKVM Domain (Unverified),77.103.109.134
localracc.argyll.live,80,Possible GLKVM Domain (Unverified),77.103.109.134
losroques.duckdns.org,80,Possible GLKVM Domain (Unverified),88.163.38.65
luki.zip,443,Possible NanoKVM Domain (Unverified),213.185.130.154
lynchtek.com,62997,Possible PiKVM Domain (Unverified),73.45.150.207
mac.mak.jp,62212,Possible GLKVM Domain (Unverified),106.72.35.161
mac.mak.jp,62214,Possible GLKVM Domain (Unverified),106.72.35.161
mail.holick.de,43625,Possible NanoKVM Domain (Unverified),78.94.253.17
mail.queuebeesolution.com.au,9443,Possible PiKVM Domain (Unverified),58.71.188.61
mail03-vps.hlpnet.dk,443,Possible GLKVM Domain (Unverified),172.233.41.176
mantapcuykita.synology.me,12001,Possible PiKVM Domain (Unverified),88.74.109.160
map.4kife.spb.ru,8086,Possible NanoKVM Domain (Unverified),5.16.21.73
martadronology.myqnapcloud.com,8084,Possible GLKVM Domain (Unverified),193.218.203.8
math.denr01.com,8573,Possible NanoKVM Domain (Unverified),217.70.27.151
matrix.barab.uk,12345,Possible NanoKVM Domain (Unverified),90.188.237.178
mc.infra.iveritas.eu,4434,Possible PiKVM Domain (Unverified),151.249.104.188
mcnallwa.com,20443,Possible PiKVM Domain (Unverified),172.92.254.98
mcrena-lgk.netcraze.pro,8081,Possible NanoKVM Domain (Unverified),195.128.97.113
mediaivan.kromskii.ru,800,Possible NanoKVM Domain (Unverified),5.128.67.170
menusout.com,443,Possible TinyPilot KVM Domain (Unverified),209.182.192.122
menusout.com,80,Possible TinyPilot KVM Domain (Unverified),209.182.192.122
messenger.agata.rip,7755,Possible NanoKVM Domain (Unverified),5.20.29.106
milash.yandex5.ru,9090,Possible PiKVM Domain (Unverified),95.31.172.177
mkxzgkblvz6ummqz.myfritz.net,443,Possible GLKVM Domain (Unverified),217.238.104.177
moxdemo.ckinf.com,4443,Possible GLKVM Domain (Unverified),176.149.234.91
moxdemo.ckinf.com,5443,Possible GLKVM Domain (Unverified),176.149.234.91
ms.ywmeis.com,8443,Possible PiKVM Domain (Unverified),122.226.124.94
mute.fenixhd.pro,1500,Possible NanoKVM Domain (Unverified),79.174.46.24
myddns.com.cn,8443,Possible GLKVM Domain (Unverified),101.65.246.149
mygigabiga.keenetic.link,443,Possible GLKVM Domain (Unverified),178.64.253.172
mynas918.xyz,6777,Possible PiKVM Domain (Unverified),125.123.21.5
nanokvmhomecenter.tuna.yakovlev-nl-01.abrdns.com,18087,Possible NanoKVM Domain (Unverified),185.239.51.213
nas-argentine-huberlant.direct.quickconnect.to,8001,Possible GLKVM Domain (Unverified),179.0.182.15
