#ip,port,ioc
43.138.0.143,80,Possible Cobaltstrike C2 IP
43.138.246.207,8443,Possible Cobaltstrike C2 IP
43.138.54.55,8443,Possible Cobaltstrike C2 IP
43.139.189.54,53,Possible Cobaltstrike C2 IP
43.139.248.193,8443,Possible Cobaltstrike C2 IP
43.143.168.239,80,Possible Cobaltstrike C2 IP
43.143.168.239,8888,Possible Cobaltstrike C2 IP
43.153.222.28,433,Possible Cobaltstrike C2 IP
43.153.222.28,443,Possible Cobaltstrike C2 IP
43.153.222.28,4545,Possible Cobaltstrike C2 IP
43.153.222.28,4646,Possible Cobaltstrike C2 IP
43.156.13.20,443,Possible Cobaltstrike C2 IP
43.202.62.102,443,Possible Cobaltstrike C2 IP
43.245.199.164,53,Possible Cobaltstrike C2 IP
43.246.208.199,443,Possible Cobaltstrike C2 IP
43.246.208.199,80,Possible Cobaltstrike C2 IP
43.251.16.62,4444,Possible Cobaltstrike C2 IP
43.251.16.62,8889,Possible Cobaltstrike C2 IP
44.193.202.139,443,Possible Cobaltstrike C2 IP
45.128.146.227,80,Possible Cobaltstrike C2 IP
45.128.146.227,8443,Possible Cobaltstrike C2 IP
45.135.118.251,53,Possible Cobaltstrike C2 IP
45.14.226.64,443,Possible Cobaltstrike C2 IP
45.152.67.162,443,Possible Cobaltstrike C2 IP
45.154.14.21,7777,Possible Cobaltstrike C2 IP
45.155.220.109,9909,Possible Metasploit C2 IP
45.32.114.118,53,Possible Cobaltstrike C2 IP
45.32.125.231,53,Possible Cobaltstrike C2 IP
45.32.65.63,9005,Possible Metasploit C2 IP
45.77.40.242,53,Possible Cobaltstrike C2 IP
46.101.25.30,53,Possible Cobaltstrike C2 IP
46.19.67.107,443,Possible Metasploit C2 IP
47.100.168.4,8888,Possible Cobaltstrike C2 IP
47.100.196.58,80,Possible Cobaltstrike C2 IP
47.100.36.233,443,Possible Cobaltstrike C2 IP
47.100.63.226,9999,Possible Cobaltstrike C2 IP
47.103.109.70,80,Possible Cobaltstrike C2 IP
47.103.147.200,8899,Possible Cobaltstrike C2 IP
47.104.181.208,80,Possible Cobaltstrike C2 IP
47.104.181.208,8080,Possible Cobaltstrike C2 IP
47.108.142.95,64535,Possible Cobaltstrike C2 IP
47.108.197.14,80,Possible Cobaltstrike C2 IP
47.108.207.211,80,Possible Cobaltstrike C2 IP
47.108.49.65,53,Possible Cobaltstrike C2 IP
47.109.137.82,80,Possible Cobaltstrike C2 IP
47.109.178.63,443,Possible Cobaltstrike C2 IP
47.109.178.63,80,Possible Cobaltstrike C2 IP
47.109.58.47,443,Possible Cobaltstrike C2 IP
47.109.59.167,80,Possible Cobaltstrike C2 IP
47.109.69.234,8080,Possible Cobaltstrike C2 IP
47.109.70.49,8022,Possible Cobaltstrike C2 IP
47.111.146.110,80,Possible Cobaltstrike C2 IP
47.113.107.52,8099,Possible Cobaltstrike C2 IP
47.113.179.177,80,Possible Cobaltstrike C2 IP
47.113.191.88,80,Possible Cobaltstrike C2 IP
47.113.202.225,443,Possible Cobaltstrike C2 IP
47.113.202.225,8080,Possible Cobaltstrike C2 IP
47.113.96.6,80,Possible Cobaltstrike C2 IP
47.115.166.43,80,Possible Cobaltstrike C2 IP
47.115.216.170,80,Possible Cobaltstrike C2 IP
47.120.25.38,80,Possible Cobaltstrike C2 IP
47.120.38.194,1234,Possible Cobaltstrike C2 IP
47.120.46.210,81,Possible Cobaltstrike C2 IP
47.120.48.100,8080,Possible Cobaltstrike C2 IP
