#domain,ioc,uri_path
flyer-soft.com,Possible Cobalt Strike C2 Domain,/__utm.gif
fofudir.com,Possible Cobalt Strike C2 Fronted Domain,/zh
free.idcfengye.com,Possible Cobalt Strike C2 Domain,/match
free.idcfengye.com,Possible Cobalt Strike C2 Domain,/pixel.gif
frm.crabdance.com,Possible Cobalt Strike C2 Fronted Domain,/c/msdownload/update/others/windows6.1-kb98218-v3-x86_0c754.psf
frostom.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
fully1.com,Possible Cobalt Strike C2 Domain,/__utm.gif
gajepe.com,Possible Cobalt Strike C2 Fronted Domain,/eo.js
galani.gr,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
georgiaonsale.com,Possible Cobalt Strike C2 Domain,/us.html
gimazic.com,Possible Cobalt Strike C2 Fronted Domain,/ur
git.bd-static.com,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/
gmailbox.pmhmi.com,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/
gohellswindler.com,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/1/
gojihu.com,Possible Cobalt Strike C2 Fronted Domain,/fam_cart.js
goodspaz.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
google-think.tk,Possible Cobalt Strike C2 Domain,/api/3
gov.cnmd.me,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
govtjobsnic.net,Possible Cobalt Strike C2 Domain,/safebrowsing/rd/CltOb12nLW1IbHehcmUtd2hUdmFzEBAY7-0KIOkUDC7h2
grufben.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
halo.06d.top,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
health-safety.care,Possible Cobalt Strike C2 Domain,/activity
hello.zylbzxcv.online,Possible Cobalt Strike C2 Domain,/updates
hepide.com,Possible Cobalt Strike C2 Fronted Domain,/link.js
hetamuf.com,Possible Cobalt Strike C2 Fronted Domain,/mobile-home.js
heuh.fknigger.tk,Possible Cobalt Strike C2 Domain,/__utm.gif
hjdk.vip,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
hjdk.vip,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js
hk.fcalebook.com,Possible Cobalt Strike C2 Domain,/activity
hoolsars.com,Possible Cobalt Strike C2 Domain,/cm
horimina.com,Possible Cobalt Strike C2 Domain,/sitemap.html
host.csdbj.xyz,Possible Cobalt Strike C2 Fronted Domain,/files/april24.dll
howeyoh.com,Possible Cobalt Strike C2 Fronted Domain,/ky
hr.vietnamworks.org,Possible Cobalt Strike C2 Domain,/safebrowsing/rd/CltOb12nLW1IbHehcmUtd2hUdmFzEBAY7-0KIOkUDC7h2
https.fawaz.blog,Possible Cobalt Strike C2 Domain,/default
hypervupdater.com,Possible Cobalt Strike C2 Domain,/fam_cart.html
iane.outlookonlines.com,Possible Cobalt Strike C2 Domain,/web-sinf002209d30000022ii0921071812d
idahobav.com,Possible Cobalt Strike C2 Fronted Domain,/access/
ifirefox.com,Possible Cobalt Strike C2 Fronted Domain,/js/static/jquery.min.js
image-five.vercel.app,Possible Cobalt Strike C2 Domain,/api/getid
image.l1stary.top,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
img.chrome-error.com,Possible Cobalt Strike C2 Domain,/api/3
innerossinternets.microsoftmservices.com,Possible Cobalt Strike C2 Domain,/static/javascript/cnzz.js
install.falsh.cn.com,Possible Cobalt Strike C2 Domain,/updates
intense.azureedge.net,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js
intensewarer.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
internalooredoo.com,Possible Cobalt Strike C2 Domain,/activity
iorgcloud.cf,Possible Cobalt Strike C2 Domain,/push
ipomisiriki.cf,Possible Cobalt Strike C2 Domain,/visit.js
itts.apname.org,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.map.js
jdchospital.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
jiangzi.com,Possible Cobalt Strike C2 Fronted Domain,/viewerng/meta
jiaxing.ga,Possible Cobalt Strike C2 Domain,/load
jmgo.org,Possible Cobalt Strike C2 Domain,/cx
jmgo.org,Possible Cobalt Strike C2 Domain,/pixel
joinc2.net,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
josefcult.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
juejin.cn,Possible Cobalt Strike C2 Fronted Domain,/viewerng/meta
juniper-vpn.net,Possible Cobalt Strike C2 Domain,/aa
kawaiiwearco.com,Possible Cobalt Strike C2 Fronted Domain,/services/data/v36.0/sobjects/account/describe
kazhistoryvideo.org,Possible Powershell Empire C2 Domain,/kazslide.php
keycloud.digital,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/167-3246918-0264889/field-keywords=books
kogasiv.com,Possible Cobalt Strike C2 Fronted Domain,/RELEASE_NOTES
koviluk.com,Possible Cobalt Strike C2 Fronted Domain,/copyright.html
ku8zc4wb.garbarg.fr,Possible Cobalt Strike C2 Domain,/pixel.gif
lagrom.com,Possible Cobalt Strike C2 Domain,/send.html
lb23311.cityu.dev,Possible Cobalt Strike C2 Domain,/include/template/ClassSvc.php
leno.outlookonlines.com,Possible Cobalt Strike C2 Domain,/web-sinf002209d30000022ii0921071812d
leonisq.com,Possible Cobalt Strike C2 Domain,/visit.js
lh1.lhsrvrs.net,Possible Cobalt Strike C2 Fronted Domain,/MREw
lh2.lhsrvrs.net,Possible Cobalt Strike C2 Fronted Domain,/MREw
lh3.lhsrvrs.net,Possible Cobalt Strike C2 Fronted Domain,/MREw
lhsrvrs.net,Possible Cobalt Strike C2 Fronting Domain,/MREw
lite-blue.net,Possible Cobalt Strike C2 Domain,/tangstatic/js/pg-q1a2z3bbc110a4.min.js
lltet87.wikaba.com,Possible Cobalt Strike C2 Domain,/ptj
lostnfound.lostnfd.xyz,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
m.rtyjngsd.com,Possible Cobalt Strike C2 Domain,/Demonstrate/v1.52/KVADCDMX6
mail.hoolsars.com,Possible Cobalt Strike C2 Domain,/visit.js
mail.leonisq.com,Possible Cobalt Strike C2 Domain,/dot.gif
master.hackyour.computer,Possible Cobalt Strike C2 Domain,/get
medicosta.tk,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
meetingshost.com,Possible Cobalt Strike C2 Domain,/functionalStatus
meyise.com,Possible Cobalt Strike C2 Fronted Domain,/default.js
micorsoft.co,Possible Cobalt Strike C2 Domain,/wp08/wp-includes/dtcla.php
micrasoftedgeupdater.com,Possible Cobalt Strike C2 Domain,/btn_bg.html
microsoft.update.flash.com.se,Possible Cobalt Strike C2 Domain,/fam_calendar
microsoftchina.org,Possible Cobalt Strike C2 Domain,/ca
microsoftchina.org,Possible Cobalt Strike C2 Domain,/ga.js
microsofts.studio,Possible Cobalt Strike C2 Domain,/pixel.gif
mobitrail.com,Possible Cobalt Strike C2 Fronted Domain,/CWoNaJLBo/VTNeWw11212/
mondayop.com,Possible Cobalt Strike C2 Fronted Domain,/access/
mscr.edgecontent.net,Possible Cobalt Strike C2 Fronting Domain,/services/account/access
mscrl2.azureedge.net,Possible Cobalt Strike C2 Fronting Domain,/services/data/v36.0/sobjects/account/describe
mubuwu.com,Possible Cobalt Strike C2 Fronted Domain,/dz
mugsecuritybuss.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
mx.llt.info,Possible Cobalt Strike C2 Fronted Domain,/cx
mycloudup.com,Possible Cobalt Strike C2 Fronted Domain,/js/static/jquery.min.js
mytokencap.com,Possible Cobalt Strike C2 Fronted Domain,/viewerng/meta
mywatchidea.com,Possible Cobalt Strike C2 Fronted Domain,/services/account/access
nagiwo.com,Possible Cobalt Strike C2 Fronted Domain,/ny
nemupim.com,Possible Cobalt Strike C2 Fronted Domain,/FAQ.html
nevegia5.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
news.swsreport.com,Possible Powershell Empire C2 Domain,/news.php
newstatisc.googleinfo.se,Possible Cobalt Strike C2 Domain,/ptj
ns1.nikoes.gq,Possible Cobalt Strike C2 Domain,/load
nuro-ai.com,Possible Cobalt Strike C2 Domain,/fo
nuro-ai.com,Possible Cobalt Strike C2 Domain,/tab_home_active.css
obeysecuritybsness.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
officeupdatenew.com,Possible Cobalt Strike C2 Domain,/d_config
omm.com.global.prod.fastly.net,Possible Cobalt Strike C2 Fronting Domain,/api2/json/cluster/resources
omm.com.global.prod.fastly.net,Possible Cobalt Strike C2 Fronting Domain,/en-us/p/onerf/MeSilentPassport
omm.com.global.prod.fastly.net,Possible Cobalt Strike C2 Fronting Domain,/gp/aj/private/reviewsGallery/get-application-resources
opf5eo6zqsh7urmr.onion,Possible Cobalt Strike C2 Domain,/s/microsoft/download/update/2021/09/41501112_
p5193nsg.corecloud.asia,Possible Cobalt Strike C2 Fronted Domain,/login
p5z2c7j9.hostrycdn.com,Possible Cobalt Strike C2 Fronted Domain,/api/3
pan.780wow.com,Possible Cobalt Strike C2 Domain,/visit.js
pdd.h3cdns.com,Possible Cobalt Strike C2 Domain,/ptj
pe1.pesrvrs.com,Possible Cobalt Strike C2 Fronted Domain,/MREw
pe2.pesrvrs.com,Possible Cobalt Strike C2 Fronted Domain,/MREw
pe3.pesrvrs.com,Possible Cobalt Strike C2 Fronted Domain,/MREw
perfectmyst.com,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/1/
pesrvrs.com,Possible Cobalt Strike C2 Fronting Domain,/MREw
