#ip,ioc
62.234.42.20,Possible Cobaltstrike C2 IP
62.234.81.85,Possible Cobaltstrike C2 IP
64.226.98.234,Possible Cobaltstrike C2 IP
64.227.152.252,Possible Metasploit C2 IP
64.227.43.95,Possible Cobaltstrike C2 IP
66.63.187.140,Possible Cobaltstrike C2 IP
72.10.160.162,Possible Metasploit C2 IP
74.48.219.195,Possible Cobaltstrike C2 IP
74.50.64.140,Possible Cobaltstrike C2 IP
75.102.49.83,Possible Cobaltstrike C2 IP
78.85.17.88,Possible Cobaltstrike C2 IP
79.141.169.221,Possible Metasploit C2 IP
8.130.115.216,Possible Cobaltstrike C2 IP
8.130.32.36,Possible Cobaltstrike C2 IP
8.130.49.29,Possible Cobaltstrike C2 IP
8.130.65.194,Possible Cobaltstrike C2 IP
8.134.12.90,Possible Cobaltstrike C2 IP
8.134.137.100,Possible Cobaltstrike C2 IP
8.134.219.118,Possible Cobaltstrike C2 IP
8.134.222.157,Possible Cobaltstrike C2 IP
8.134.251.198,Possible Cobaltstrike C2 IP
8.134.80.227,Possible Cobaltstrike C2 IP
8.134.89.27,Possible Cobaltstrike C2 IP
8.137.114.210,Possible Cobaltstrike C2 IP
8.137.115.105,Possible Cobaltstrike C2 IP
8.138.133.209,Possible Cobaltstrike C2 IP
8.138.23.74,Possible Cobaltstrike C2 IP
8.138.80.154,Possible Cobaltstrike C2 IP
8.138.96.210,Possible Cobaltstrike C2 IP
