#domain,ioc,uri_path
entirelysecuritybusiness.com,Possible Cobalt Strike C2 Domain,/jquery-3.2.2.min.js
er1.g0v.org.cn,Possible Cobalt Strike C2 Domain,/ca
er2.g0v.org.cn,Possible Cobalt Strike C2 Domain,/ca
er3.g0v.org.cn,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
eserv-tech.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
evergreenhealthnet.org,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
expoless.com,Possible Cobalt Strike C2 Domain,/us/ky/louisville/312-s-fourth-st.html
exrap.com,Possible Cobalt Strike C2 Domain,/us/ky/louisville/312-s-fourth-st.html
ez.woshinibaba.gq,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
ezshoppi.com,Possible Cobalt Strike C2 Domain,/react.production-1.1.min.js
facebook.microsoftxs.com,Possible Cobalt Strike C2 Fronted Domain,/c/msdownload/update/others/2016/12/29136388_
facilities-awareness.com,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/122-3223588-02007569/field-keywords=books
fedex-global.com,Possible Cobalt Strike C2 Domain,/MicrosoftUpdate/ShellEx/KB242742/default.aspx
fee.mozilla-firfox.com,Possible Cobalt Strike C2 Domain,/fam_newspaper
feusa.net,Possible Cobalt Strike C2 Domain,/userid=
ffiash.xyz,Possible Cobalt Strike C2 Domain,/nv.js
fiash.info,Possible Cobalt Strike C2 Domain,/cx
fideclouds.cf,Possible Cobalt Strike C2 Domain,/load
fitt1.net,Possible Cobalt Strike C2 Domain,/en_US/all.js
fivezin.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
flash-chinese.icu,Possible Cobalt Strike C2 Domain,/api/3
flash.360team.ml,Possible Cobalt Strike C2 Domain,/api/gpu
flashcf.cf,Possible Cobalt Strike C2 Domain,/updates.rss
flashelper.xyz,Possible Cobalt Strike C2 Domain,/modules.css
fondfbr.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
free.idcfengye.com,Possible Cobalt Strike C2 Domain,/pixel.gif
frite22.com,Possible Cobalt Strike C2 Domain,/userid=
fuck.crycat.cn,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
ga.yiqics.top,Possible Cobalt Strike C2 Domain,/pixel.gif
galani.gr,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
gasonz.com,Possible Cobalt Strike C2 Domain,/ku.css
gellten-p.com,Possible Cobalt Strike C2 Domain,/match
getnchealthinsurance.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
gihevu.com,Possible Cobalt Strike C2 Fronted Domain,/posting.js
globalarchitec.pro,Possible Cobalt Strike C2 Fronted Domain,/access/
gmbfrom.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
go.yiyebf3.xyz,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
gojihu.com,Possible Cobalt Strike C2 Fronted Domain,/fam_cart.js
goptgrou.global.ssl.fastly.net,Possible Cobalt Strike C2 Domain,/ptj
gov.cnmd.me,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
govtjobsnic.net,Possible Cobalt Strike C2 Domain,/safebrowsing/rd/CltOb12nLW1IbHehcmUtd2hUdmFzEBAY7-0KIOkUDC7h2
group-policy.org,Possible Cobalt Strike C2 Domain,/gv
h5m.voc.com.cn,Possible Cobalt Strike C2 Fronted Domain,/ptj
hars2t.com,Possible Cobalt Strike C2 Domain,/userid=
health-safety.care,Possible Cobalt Strike C2 Domain,/dot.gif
heuh.fknigger.tk,Possible Cobalt Strike C2 Domain,/__utm.gif
hihi.reddersec.net,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/558-53078393-3917173/field-keywords=eye
hireja.com,Possible Cobalt Strike C2 Fronted Domain,/Content
hk.cdn-skype.com,Possible Powershell Empire C2 Domain,/admin/get.php
hk.fcalebook.com,Possible Cobalt Strike C2 Domain,/activity
hoeidia.com,Possible Cobalt Strike C2 Domain,/skin
hondame.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
howcompost.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
hr-mail.org,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/122-3223588-02007569/field-keywords=books
hr.vietnamworks.org,Possible Cobalt Strike C2 Domain,/safebrowsing/rd/CltOb12nLW1IbHehcmUtd2hUdmFzEBAY7-0KIOkUDC7h2
i.appnexus-free.com,Possible Cobalt Strike C2 Domain,/___utm.gif
iamhealthytoday.com,Possible Cobalt Strike C2 Domain,/__utm.gif
iane.outlookonlines.com,Possible Cobalt Strike C2 Domain,/web-sinf002209d30000022ii0921071812d
identalytics.com,Possible Cobalt Strike C2 Domain,/keepalive
ifirefox.com,Possible Cobalt Strike C2 Fronted Domain,/js/static/jquery.min.js
image-five.vercel.app,Possible Cobalt Strike C2 Domain,/api/getid
images.ivirda.com,Possible Cobalt Strike C2 Domain,/dot.gif
img.chrome-error.com,Possible Cobalt Strike C2 Domain,/api/3
img6.2345.com,Possible Cobalt Strike C2 Fronted Domain,/push
