#ip,port,ioc
112.124.14.235,80,Possible Cobaltstrike C2 IP
112.124.60.149,8080,Possible Cobaltstrike C2 IP
112.124.68.87,2222,Possible Cobaltstrike C2 IP
112.124.71.123,443,Possible Cobaltstrike C2 IP
112.125.88.176,443,Possible Cobaltstrike C2 IP
112.126.94.134,53,Possible Cobaltstrike C2 IP
112.126.94.134,80,Possible Cobaltstrike C2 IP
112.21.124.242,7777,Possible Cobaltstrike C2 IP
112.74.184.37,443,Possible Cobaltstrike C2 IP
112.74.184.37,53,Possible Cobaltstrike C2 IP
112.74.184.37,80,Possible Cobaltstrike C2 IP
112.74.184.37,9090,Possible Cobaltstrike C2 IP
112.74.184.37,9999,Possible Cobaltstrike C2 IP
112.74.95.85,8888,Possible Cobaltstrike C2 IP
113.250.188.15,8454,Possible Cobaltstrike C2 IP
113.250.188.15,8524,Possible Cobaltstrike C2 IP
113.250.188.15,8758,Possible Cobaltstrike C2 IP
113.250.188.15,8886,Possible Cobaltstrike C2 IP
113.31.103.151,7777,Possible Cobaltstrike C2 IP
113.31.113.77,443,Possible Cobaltstrike C2 IP
113.31.113.77,80,Possible Cobaltstrike C2 IP
113.44.130.196,80,Possible Cobaltstrike C2 IP
113.44.144.145,80,Possible Cobaltstrike C2 IP
113.44.172.29,9999,Possible Cobaltstrike C2 IP
113.44.67.52,9443,Possible Cobaltstrike C2 IP
113.44.75.176,443,Possible Cobaltstrike C2 IP
113.44.79.187,8801,Possible Cobaltstrike C2 IP
113.44.79.187,8803,Possible Cobaltstrike C2 IP
113.44.85.80,2222,Possible Cobaltstrike C2 IP
113.44.90.0,80,Possible Cobaltstrike C2 IP
113.45.171.161,88,Possible Cobaltstrike C2 IP
113.45.177.211,81,Possible Cobaltstrike C2 IP
113.45.190.211,80,Possible Cobaltstrike C2 IP
113.45.192.130,58899,Possible Cobaltstrike C2 IP
113.45.198.147,5600,Possible Cobaltstrike C2 IP
113.45.198.147,8888,Possible Cobaltstrike C2 IP
113.45.198.61,443,Possible Cobaltstrike C2 IP
113.45.206.127,8883,Possible Cobaltstrike C2 IP
113.45.224.31,80,Possible Cobaltstrike C2 IP
113.45.246.123,443,Possible Cobaltstrike C2 IP
113.45.250.196,443,Possible Cobaltstrike C2 IP
114.115.213.248,443,Possible Cobaltstrike C2 IP
114.116.246.146,9999,Possible Cobaltstrike C2 IP
114.116.251.123,8088,Possible Cobaltstrike C2 IP
114.132.186.106,80,Possible Cobaltstrike C2 IP
114.132.190.53,7443,Possible Cobaltstrike C2 IP
114.132.190.53,80,Possible Cobaltstrike C2 IP
114.132.244.217,80,Possible Cobaltstrike C2 IP
114.55.100.165,19999,Possible Cobaltstrike C2 IP
114.55.100.165,9998,Possible Cobaltstrike C2 IP
114.55.144.191,443,Possible Cobaltstrike C2 IP
114.55.144.191,80,Possible Cobaltstrike C2 IP
114.55.245.193,80,Possible Cobaltstrike C2 IP
114.55.250.233,2413,Possible Cobaltstrike C2 IP
114.55.250.233,4431,Possible Cobaltstrike C2 IP
114.55.250.233,80,Possible Cobaltstrike C2 IP
114.96.89.69,7777,Possible Cobaltstrike C2 IP
115.120.210.236,8090,Possible Cobaltstrike C2 IP
115.120.210.236,9999,Possible Cobaltstrike C2 IP
115.120.241.136,80,Possible Cobaltstrike C2 IP
115.120.250.85,443,Possible Cobaltstrike C2 IP
115.29.202.62,8111,Possible Cobaltstrike C2 IP
116.196.92.13,9095,Possible Cobaltstrike C2 IP
116.196.95.100,80,Possible Cobaltstrike C2 IP
116.198.229.197,6666,Possible Cobaltstrike C2 IP
116.204.21.94,443,Possible Cobaltstrike C2 IP
116.204.21.94,80,Possible Cobaltstrike C2 IP
116.205.121.86,7777,Possible Cobaltstrike C2 IP
116.205.98.214,81,Possible Cobaltstrike C2 IP
116.205.98.214,8676,Possible Cobaltstrike C2 IP
116.207.184.222,443,Possible Cobaltstrike C2 IP
116.62.69.12,44440,Possible Cobaltstrike C2 IP
116.62.70.252,443,Possible Cobaltstrike C2 IP
116.62.8.222,3389,Possible Cobaltstrike C2 IP
117.18.7.37,53,Possible Cobaltstrike C2 IP
117.50.163.22,8080,Possible Cobaltstrike C2 IP
117.50.178.197,57982,Possible Cobaltstrike C2 IP
117.50.181.189,10001,Possible Cobaltstrike C2 IP
117.50.186.11,443,Possible Cobaltstrike C2 IP
117.50.190.56,443,Possible Cobaltstrike C2 IP
117.50.190.56,80,Possible Cobaltstrike C2 IP
117.50.47.141,801,Possible Cobaltstrike C2 IP
117.72.118.156,80,Possible Cobaltstrike C2 IP
117.72.118.156,8443,Possible Cobaltstrike C2 IP
117.72.17.162,8773,Possible Cobaltstrike C2 IP
117.72.36.47,7080,Possible Cobaltstrike C2 IP
117.72.39.83,30005,Possible Cobaltstrike C2 IP
117.72.39.83,33333,Possible Cobaltstrike C2 IP
117.72.39.83,43872,Possible Cobaltstrike C2 IP
117.72.39.83,443,Possible Cobaltstrike C2 IP
117.72.39.83,4433,Possible Cobaltstrike C2 IP
117.72.41.175,443,Possible Cobaltstrike C2 IP
118.107.4.232,8443,Possible Cobaltstrike C2 IP
118.178.231.121,80,Possible Cobaltstrike C2 IP
118.178.235.206,8888,Possible Cobaltstrike C2 IP
118.178.89.212,4434,Possible Cobaltstrike C2 IP
118.193.37.157,8889,Possible Cobaltstrike C2 IP
118.195.137.190,443,Possible Cobaltstrike C2 IP
118.195.137.190,80,Possible Cobaltstrike C2 IP
118.24.121.59,82,Possible Cobaltstrike C2 IP
118.24.60.20,801,Possible Cobaltstrike C2 IP
118.25.85.104,4443,Possible Cobaltstrike C2 IP
118.25.85.104,80,Possible Cobaltstrike C2 IP
118.25.91.151,443,Possible Cobaltstrike C2 IP
118.25.91.151,80,Possible Cobaltstrike C2 IP
118.26.38.52,8848,Possible Cobaltstrike C2 IP
118.31.16.216,80,Possible Cobaltstrike C2 IP
118.71.64.159,443,Possible Metasploit C2 IP
118.89.116.174,443,Possible Cobaltstrike C2 IP
118.89.116.174,80,Possible Cobaltstrike C2 IP
118.89.116.174,8899,Possible Cobaltstrike C2 IP
118.89.124.190,9999,Possible Cobaltstrike C2 IP
119.188.123.185,443,Possible Cobaltstrike C2 IP
119.23.200.137,60001,Possible Cobaltstrike C2 IP
119.23.200.137,80,Possible Cobaltstrike C2 IP
119.23.208.137,60001,Possible Cobaltstrike C2 IP
119.23.208.137,80,Possible Cobaltstrike C2 IP
119.28.129.27,22443,Possible Cobaltstrike C2 IP
119.29.128.79,443,Possible Cobaltstrike C2 IP
119.29.132.20,443,Possible Cobaltstrike C2 IP
119.29.37.102,443,Possible Cobaltstrike C2 IP
119.3.153.81,4433,Possible Cobaltstrike C2 IP
119.3.154.143,80,Possible Cobaltstrike C2 IP
119.3.171.150,9600,Possible Cobaltstrike C2 IP
