#domain,ioc,uri_path,ip
cdn.san-xun.top,Possible Cobalt Strike C2 Domain,/api/v1/get,38.147.171.174
cdn.soft.qianxin.com,Possible Cobalt Strike C2 Fronted Domain,/static/superman/js/components/sensorsdata.min.js,47.92.26.188
cf.iqiyi.mom,Possible Cobalt Strike C2 Domain,/wc/58462514417,198.23.228.112
cf.r8.lc,Possible Cobalt Strike C2 Domain,/s/58462514417,154.64.254.113
cfd.njpji.edu.cn,Possible Cobalt Strike C2 Fronted Domain,/gateway/api/user,47.98.134.252
check.judicical.ml,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,45.32.125.231
check1.judicical.ml,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,45.32.125.231
chonqbang.com,Possible Cobalt Strike C2 Domain,/api/3,8.153.65.109
churras.uk,Possible Cobalt Strike C2 Domain,/user/login,52.56.196.38
cityoall.com,Possible Cobalt Strike C2 Domain,/en_US/all.js,94.20.88.63
cloud-sync-bcjxmnarpb.cn-shanghai.fcapp.run,Possible Cobalt Strike C2 Domain,/img/logo.jpg,39.102.213.118
cloud.sentinelonebit.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,64.7.199.12
cloud1961021.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,103.207.68.137
cloudflare-cdn.us.kg,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/,38.54.112.117
cloudflare.route-api.com,Possible Cobalt Strike C2 Domain,/pixel.gif,3.133.128.158
cloudmo.xyz,Possible Cobalt Strike C2 Domain,/dot.gif,34.208.255.157
cngov-gov-xejpcmqhyb.cn-shanghai.fcapp.run,Possible Cobalt Strike C2 Domain,/img/logo.jpg,124.221.117.90
cngov.oss-cn-shanghai.aliyuncs.com,Possible Cobalt Strike C2 Domain,/img/logo.jpg,124.221.117.90
cnm.rememdam.xyz,Possible Cobalt Strike C2 Domain,/image/,38.47.103.169
cnn.org,Possible Cobalt Strike C2 Fronting Domain,/css3/index2.shtml,3.86.25.166
cnu8-windowsupdate.com,Possible Cobalt Strike C2 Domain,/pixel,185.234.216.238
cobaltstrike.g3ll3rt.com,Possible Cobalt Strike C2 Domain,/ca,45.202.35.139
cobaltstrike.site,Possible Cobalt Strike C2 Domain,/pixel.gif,140.143.146.150
